ingredient,serving_basis,calories_kcal,protein_g,carbs_g,fat_g,fiber_g,sugar_g,sodium_mg,potassium_mg,calcium_mg,iron_mg,vitamin_c_mg,vitamin_a_mcg_rae
Raisins,per 100g,299,3.1,79.2,0.5,3.7,59.2,11,749,50,1.9,2.3,0
Dates,per 100g,277,1.8,75,0.2,6.7,63.4,1,696,39,0.9,0,0
Broccoli (cooked),per 100g,35,2.4,7.2,0.4,3.3,1.4,41,293,40,0.7,64.9,31
Spinach (raw),per 100g,23,2.9,3.6,0.4,2.2,0.4,79,558,99,2.7,28.1,469
Kale (raw),per 100g,49,4.3,8.8,0.9,3.6,2.3,38,348,150,1.5,120,500
"Bell pepper, red (raw)",per 100g,31,1,6,0.3,2.1,4.2,4,211,7,0.4,127.7,157
Carrot (raw),per 100g,41,0.9,9.6,0.2,2.8,4.7,69,320,33,0.3,5.9,835
Cucumber (raw),per 100g,15,0.7,3.6,0.1,0.5,1.7,2,147,16,0.3,2.8,5
Zucchini (raw),per 100g,17,1.2,3.1,0.3,1,2.5,8,261,16,0.4,17.9,10
Asparagus (cooked),per 100g,22,2.4,4.1,0.2,2,1.3,14,202,23,0.9,7.7,60
Green beans (cooked),per 100g,35,1.9,7.9,0.3,3.2,3.3,6,209,44,1.0,9.7,35
Cauliflower (raw),per 100g,25,1.9,5,0.3,2,1.9,30,299,22,0.4,48.2,0
Tomato (raw),per 100g,18,0.9,3.9,0.2,1.2,2.6,5,237,10,0.3,13.7,42
"Mushroom, white/button (raw)",per 100g,22,3.1,3.3,0.3,1,2,5,318,3,0.5,2.1,0
Onion (raw),per 100g,40,1.1,9.3,0.1,1.7,4.2,4,146,23,0.2,7.4,0
Almonds,per 100g,579,21.2,21.6,49.9,12.5,4.4,1,733,269,3.7,0,0
Peanut butter,per 100g,588,25,20,50,6,9,17,649,43,1.9,0,0
Olive oil,per 100g,884,0,0,100,0,0,2,1,1,0.6,0,0
